,sme
wm_avg,0.6056652727835297
prophet,0.5878796128611834
m_avg,0.5518421370163007
em_avg,0.36370203080385793
holt_linear,0.3521917570584033
naive,0.2714329729669849
ses,0.24491020910126943
s_avg,0.1405436823388204
