,sme
prophet,937.6101398277074
em_avg,862.663337280022
wm_avg,697.4057361037485
holt_linear,656.966693172459
m_avg,561.2412730124115
naive,377.3909074672132
ses,348.4678931384028
s_avg,344.2821426515635
