,sme
m_avg,16965.077571446145
prophet,16251.185785421547
s_avg,13084.394620833778
wm_avg,10395.73730716116
em_avg,8946.76867098303
naive,2774.901049789965
ses,2692.4379418732387
holt_linear,2576.8818848819737
