Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOT,2021-04-08,41.0410724147,40.2053679768,41.2850087356,40.017818814
DOT,2021-04-09,40.8594707418,41.3472932161,42.0889485547,40.0993850827
DOT,2021-04-10,41.0509405764,40.8155775252,42.5650963953,40.1368090394
DOT,2021-04-11,41.3007689465,41.5776273232,41.7360334551,39.9809620831
DOT,2021-04-12,40.4721552886,41.3256060412,41.7374901508,39.4000101181
DOT,2021-04-13,42.3510891619,40.4420955424,43.1301714743,39.8016200931
DOT,2021-04-14,42.3716859387,42.9232524991,44.5345893121,40.1773726504
DOT,2021-04-15,43.8011998721,42.5174501632,44.0844266132,41.4243658656
DOT,2021-04-16,42.0224515313,43.4563919214,43.812087187,40.5469736596
DOT,2021-04-17,43.430229945,41.4476299565,48.0042799236,41.4472620103
DOT,2021-04-18,38.1237983463,42.1874482195,42.7695342852,32.5620002867
DOT,2021-04-19,35.3987734697,37.4558437152,38.6990726681,34.2586993289
DOT,2021-04-20,34.9257556306,34.7935413424,35.7889141289,31.6357477795
DOT,2021-04-21,34.6992576119,35.4600111895,36.3463774441,33.2334800803
DOT,2021-04-22,33.304133409,33.8222552769,36.7769064105,32.7978662415
DOT,2021-04-23,31.5303326266,32.9661763331,33.4940823573,26.8446495144
DOT,2021-04-24,30.0262781522,32.2983558476,32.5152219067,28.6339740986
DOT,2021-04-25,29.3324570651,29.0498042636,31.378637653,28.1835960716
DOT,2021-04-26,32.8500725673,29.8751507845,33.5162680934,29.8173129618
DOT,2021-04-27,34.4645875869,33.4319276003,34.9425159204,33.199453319
DOT,2021-04-28,33.6920792678,34.8820825491,35.3575843607,32.6465934703
DOT,2021-04-29,34.5798794116,34.0063641614,34.6369776124,33.02962988
DOT,2021-04-30,36.0156147282,36.0043813847,36.8578897355,35.127200751
DOT,2021-05-01,36.8824791876,36.5323110759,37.394883159,35.8124529633
DOT,2021-05-02,36.3029988059,36.9152327972,37.1963070659,35.5415415944
DOT,2021-05-03,37.2886568086,36.6648913647,38.3181727287,36.6416236468
DOT,2021-05-04,35.1579600857,37.2819870381,37.9628853279,34.8751271046
DOT,2021-05-05,40.050712352,34.8183630015,40.4912916027,34.5672988364
DOT,2021-05-06,41.8932728322,40.4427585257,43.9159036789,38.0455977976
DOT,2021-05-07,38.9034224617,41.5822825128,42.6520710782,38.441109083
DOT,2021-05-08,39.8166696839,39.9416611981,40.6953670404,38.8008582445
DOT,2021-05-09,40.032158617,39.9731703201,40.6239931599,38.2878514819
DOT,2021-05-10,36.5043203212,40.3484177774,41.8691049761,32.5159771699
