,sme
wm_avg,0.5794999889132859
prophet,0.5638680485381782
holt_linear,0.5480657214006105
em_avg,0.5155035730248683
s_avg,0.37915232864600285
naive,0.2983934753269898
ses,0.261411572865123
m_avg,0.1866607156233228
